subindex,time,rssi,noise,nrx,ntx,lat,lon,node,role,pos,power,rate,size,distance
0,1900-01-01 16:40:55.181641889,,,,1.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
1,1900-01-01 16:40:55.308103129,,,,4.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
2,1900-01-01 16:40:55.429947241,,,,5.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
3,1900-01-01 16:40:56.551820963,,,,6.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
4,1900-01-01 16:40:56.673720092,,,,7.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
5,1900-01-01 16:40:56.795584296,,,,8.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
6,1900-01-01 16:40:56.917443240,,,,9.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
7,1900-01-01 16:40:56.393696660,,,,10.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
8,1900-01-01 16:40:56.161206222,,,,11.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
9,1900-01-01 16:40:56.283058499,,,,12.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
10,1900-01-01 16:40:56.404983258,,,,13.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
11,1900-01-01 16:40:57.526828721,,,,14.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
12,1900-01-01 16:40:57.648737536,,,,15.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
13,1900-01-01 16:40:57.770531851,,,,16.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
14,1900-01-01 16:40:57.892384888,,,,17.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
15,1900-01-01 16:40:57.143292770,,,,18.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
16,1900-01-01 16:40:57.136130073,,,,19.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
17,1900-01-01 16:40:57.258071406,,,,20.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
18,1900-01-01 16:40:57.379920869,,,,21.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
19,1900-01-01 16:40:57.501738943,,,,22.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
20,1900-01-01 16:40:58.623569850,,,,23.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
21,1900-01-01 16:40:58.745493035,,,,24.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
22,1900-01-01 16:40:58.867402980,,,,25.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
23,1900-01-01 16:40:58.989282535,,,,26.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
24,1900-01-01 16:40:58.111139294,,,,27.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
25,1900-01-01 16:40:58.232955257,,,,28.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
26,1900-01-01 16:40:58.354839146,,,,29.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
27,1900-01-01 16:40:58.476673665,,,,30.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
28,1900-01-01 16:40:59.598544794,,,,31.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
29,1900-01-01 16:40:59.720470294,,,,32.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
30,1900-01-01 16:40:59.842316331,,,,33.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
31,1900-01-01 16:40:59.964204850,,,,34.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
32,1900-01-01 16:40:59.860447200,,,,35.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
33,1900-01-01 16:40:59.207922183,,,,36.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
34,1900-01-01 16:40:59.329828479,,,,37.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
35,1900-01-01 16:41:00.579155108,,,,38.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
36,1900-01-01 16:41:00.705293238,,,,41.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
37,1900-01-01 16:41:00.827197182,,,,42.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
38,1900-01-01 16:41:00.949175108,,,,43.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
39,1900-01-01 16:41:00.709212190,,,,44.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
40,1900-01-01 16:41:00.192771923,,,,45.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
41,1900-01-01 16:41:00.314620275,,,,46.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
42,1900-01-01 16:41:00.436490386,,,,47.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
43,1900-01-01 16:41:01.558416534,,,,48.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
44,1900-01-01 16:41:01.680303089,,,,49.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
45,1900-01-01 16:41:01.802148108,,,,50.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
46,1900-01-01 16:41:01.923986589,,,,51.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
47,1900-01-01 16:41:01.458417930,,,,52.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
48,1900-01-01 16:41:01.167759848,,,,53.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
49,1900-01-01 16:41:01.289602515,,,,54.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
50,1900-01-01 16:41:01.411461830,,,,55.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
51,1900-01-01 16:41:02.533386681,,,,56.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
52,1900-01-01 16:41:02.655260422,,,,57.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
53,1900-01-01 16:41:02.777149366,,,,58.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
54,1900-01-01 16:41:02.898973977,,,,59.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
55,1900-01-01 16:41:02.208685700,,,,60.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
56,1900-01-01 16:41:02.142728662,,,,61.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
57,1900-01-01 16:41:02.264553514,,,,62.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
58,1900-01-01 16:41:02.386323625,,,,63.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
59,1900-01-01 16:41:02.508265496,,,,64.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
60,1900-01-01 16:41:03.630080236,,,,65.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
